attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
0,1400760,0,-1281,390821,298039,385010,105064,215306,146263,604699,200,0
0,1400760,0,2007,390821,298039,385010,105064,215306,146263,604699,200,0
0,1400760,0,1905,390821,298039,385010,105064,215306,146263,604699,200,0
0,1400760,0,432,390821,298039,385010,105064,215306,146263,604699,200,0
0,1400760,0,-1749,390821,298039,385010,105064,215306,146263,604699,200,0
0,1400760,0,1936,390821,298039,385010,105064,215306,146263,604699,200,0
0,1400760,0,-1223,390821,298039,385010,105064,215306,146263,604699,200,0
0,1400760,0,1081,390821,298039,385010,105064,215306,146263,604699,200,0
0,1400760,0,1898,390821,298039,385010,105064,215306,146263,604699,200,0
0,173345,0,-2048,33516,39352,93770,29862,24424,37739,165838,200,0
0,173345,0,-609,33516,39352,93770,29862,24424,37739,165838,200,0
0,173345,0,1450,33516,39352,93770,29862,24424,37739,165838,200,0
0,173345,0,1994,33516,39352,93770,29862,24424,37739,165838,200,0
0,173345,0,1924,33516,39352,93770,29862,24424,37739,165838,200,0
0,173345,0,1980,33516,39352,93770,29862,24424,37739,165838,200,0
0,173345,0,-1685,33516,39352,93770,29862,24424,37739,165838,200,0
0,173345,0,-2048,33516,39352,93770,29862,24424,37739,165838,200,0
0,173345,0,-1601,33516,39352,93770,29862,24424,37739,165838,200,0
0,173345,0,443,33516,39352,93770,29862,24424,37739,165838,200,0
0,173345,0,1771,33516,39352,93770,29862,24424,37739,165838,200,0
0,649900,0,-474,373491,311929,137132,75337,312020,110725,577859,200,0
0,649900,0,1932,373491,311929,137132,75337,312020,110725,577859,200,0
0,649900,0,1577,373491,311929,137132,75337,312020,110725,577859,200,0
0,649900,0,517,373491,311929,137132,75337,312020,110725,577859,200,0
0,649900,0,1852,373491,311929,137132,75337,312020,110725,577859,200,0
0,649900,0,2047,373491,311929,137132,75337,312020,110725,577859,200,0
0,649900,0,1544,373491,311929,137132,75337,312020,110725,577859,200,0
0,649900,0,-525,373491,311929,137132,75337,312020,110725,577859,200,0
0,649900,0,-2048,373491,311929,137132,75337,312020,110725,577859,200,0
0,649900,0,-2048,373491,311929,137132,75337,312020,110725,577859,200,0
0,556448,0,818,819198,277804,35753,201484,303446,112928,965914,200,0
0,556448,0,-1591,819198,277804,35753,201484,303446,112928,965914,200,0
0,556448,0,-2048,819198,277804,35753,201484,303446,112928,965914,200,0
0,556448,0,-1186,819198,277804,35753,201484,303446,112928,965914,200,0
0,556448,0,451,819198,277804,35753,201484,303446,112928,965914,200,0
0,556448,0,1936,819198,277804,35753,201484,303446,112928,965914,200,0
0,556448,0,2047,819198,277804,35753,201484,303446,112928,965914,200,0
0,556448,0,1193,819198,277804,35753,201484,303446,112928,965914,200,0
0,556448,0,-935,819198,277804,35753,201484,303446,112928,965914,200,0
0,1089153,0,1539,527489,215213,88048,41061,130743,82825,1262092,200,0
0,1089153,0,1960,527489,215213,88048,41061,130743,82825,1262092,200,0
0,1089153,0,1913,527489,215213,88048,41061,130743,82825,1262092,200,0
0,1089153,0,216,527489,215213,88048,41061,130743,82825,1262092,200,0
0,1089153,0,-2048,527489,215213,88048,41061,130743,82825,1262092,200,0
0,1089153,0,-2048,527489,215213,88048,41061,130743,82825,1262092,200,0
0,1089153,0,-1075,527489,215213,88048,41061,130743,82825,1262092,200,0
0,1089153,0,1053,527489,215213,88048,41061,130743,82825,1262092,200,0
0,1089153,0,1978,527489,215213,88048,41061,130743,82825,1262092,200,0
0,1089153,0,1936,527489,215213,88048,41061,130743,82825,1262092,200,0
0,320140,0,-163,571453,116414,342644,129159,157522,113830,550153,200,0
0,320140,0,1685,571453,116414,342644,129159,157522,113830,550153,200,0
0,320140,0,1978,571453,116414,342644,129159,157522,113830,550153,200,0
0,320140,0,1808,571453,116414,342644,129159,157522,113830,550153,200,0
0,320140,0,-1089,571453,116414,342644,129159,157522,113830,550153,200,0
0,320140,0,-2027,571453,116414,342644,129159,157522,113830,550153,200,0
0,320140,0,-2048,571453,116414,342644,129159,157522,113830,550153,200,0
0,320140,0,-1067,571453,116414,342644,129159,157522,113830,550153,200,0
0,320140,0,1057,571453,116414,342644,129159,157522,113830,550153,200,0
0,320140,0,1893,571453,116414,342644,129159,157522,113830,550153,200,0
0,945595,0,-2048,650454,25106,348325,99539,107739,116285,373475,200,0
0,945595,0,-1826,650454,25106,348325,99539,107739,116285,373475,200,0
0,945595,0,-2048,650454,25106,348325,99539,107739,116285,373475,200,0
0,945595,0,1782,650454,25106,348325,99539,107739,116285,373475,200,0
0,945595,0,657,650454,25106,348325,99539,107739,116285,373475,200,0
0,945595,0,1655,650454,25106,348325,99539,107739,116285,373475,200,0
0,945595,0,-245,650454,25106,348325,99539,107739,116285,373475,200,0
0,945595,0,-2048,650454,25106,348325,99539,107739,116285,373475,200,0
0,945595,0,-1958,650454,25106,348325,99539,107739,116285,373475,200,0
0,945595,0,-1019,650454,25106,348325,99539,107739,116285,373475,200,0
0,947422,0,-836,439347,65264,359407,147605,218665,125963,728052,200,0
0,947422,0,-2048,439347,65264,359407,147605,218665,125963,728052,200,0
0,947422,0,-2048,439347,65264,359407,147605,218665,125963,728052,200,0
0,947422,0,-337,439347,65264,359407,147605,218665,125963,728052,200,0
0,947422,0,12,439347,65264,359407,147605,218665,125963,728052,200,0
0,947422,0,561,439347,65264,359407,147605,218665,125963,728052,200,0
0,947422,0,1468,439347,65264,359407,147605,218665,125963,728052,200,0
0,947422,0,1734,439347,65264,359407,147605,218665,125963,728052,200,0
0,947422,0,-1265,439347,65264,359407,147605,218665,125963,728052,200,0
0,947422,0,-2048,439347,65264,359407,147605,218665,125963,728052,200,0
0,73530,0,1980,818063,287109,408618,183979,170074,122198,1164501,200,0
0,73530,0,1745,818063,287109,408618,183979,170074,122198,1164501,200,0
0,73530,0,-103,818063,287109,408618,183979,170074,122198,1164501,200,0
0,73530,0,-1865,818063,287109,408618,183979,170074,122198,1164501,200,0
0,73530,0,-2048,818063,287109,408618,183979,170074,122198,1164501,200,0
0,73530,0,-780,818063,287109,408618,183979,170074,122198,1164501,200,0
0,73530,0,1178,818063,287109,408618,183979,170074,122198,1164501,200,0
0,73530,0,1977,818063,287109,408618,183979,170074,122198,1164501,200,0
0,73530,0,1828,818063,287109,408618,183979,170074,122198,1164501,200,0
0,73530,0,342,818063,287109,408618,183979,170074,122198,1164501,200,0
0,602088,0,1703,752851,346922,318019,162597,180598,152795,428257,200,0
0,602088,0,1992,752851,346922,318019,162597,180598,152795,428257,200,0
0,602088,0,1765,752851,346922,318019,162597,180598,152795,428257,200,0
0,602088,0,-573,752851,346922,318019,162597,180598,152795,428257,200,0
0,602088,0,-2048,752851,346922,318019,162597,180598,152795,428257,200,0
0,602088,0,-2048,752851,346922,318019,162597,180598,152795,428257,200,0
0,602088,0,-572,752851,346922,318019,162597,180598,152795,428257,200,0
0,602088,0,1405,752851,346922,318019,162597,180598,152795,428257,200,0
0,602088,0,1954,752851,346922,318019,162597,180598,152795,428257,200,0
0,602088,0,1890,752851,346922,318019,162597,180598,152795,428257,200,0
0,575985,0,-1176,1250499,128653,120022,170502,168979,157025,203004,200,0
0,575985,0,651,1250499,128653,120022,170502,168979,157025,203004,200,0
0,575985,0,1813,1250499,128653,120022,170502,168979,157025,203004,200,0
0,575985,0,1972,1250499,128653,120022,170502,168979,157025,203004,200,0
0,575985,0,907,1250499,128653,120022,170502,168979,157025,203004,200,0
0,575985,0,-919,1250499,128653,120022,170502,168979,157025,203004,200,0
0,575985,0,-2048,1250499,128653,120022,170502,168979,157025,203004,200,0
0,575985,0,-1768,1250499,128653,120022,170502,168979,157025,203004,200,0
0,575985,0,-305,1250499,128653,120022,170502,168979,157025,203004,200,0
0,575985,0,1633,1250499,128653,120022,170502,168979,157025,203004,200,0
0,1322813,0,-2048,193726,466237,244694,131662,108982,260462,463939,200,0
0,1322813,0,-980,193726,466237,244694,131662,108982,260462,463939,200,0
0,1322813,0,537,193726,466237,244694,131662,108982,260462,463939,200,0
0,1322813,0,1779,193726,466237,244694,131662,108982,260462,463939,200,0
0,1322813,0,1957,193726,466237,244694,131662,108982,260462,463939,200,0
0,1322813,0,1515,193726,466237,244694,131662,108982,260462,463939,200,0
