attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
75,152355,51,-39,887169,50606,152307,2789,132408,5063,840141,0,0
75,152355,51,-72,887169,50606,152307,2789,132408,5063,840141,0,0
75,152355,51,-306,887169,50606,152307,2789,132408,5063,840141,0,0
75,1878148,51,871,506217,99635,110543,12932,160639,4383,901048,26,0
75,1878148,51,18,506217,99635,110543,12932,160639,4383,901048,26,0
75,1878148,51,-199,506217,99635,110543,12932,160639,4383,901048,26,0
75,1878148,51,-450,506217,99635,110543,12932,160639,4383,901048,26,0
75,1878148,51,-356,506217,99635,110543,12932,160639,4383,901048,26,0
75,1878148,51,177,506217,99635,110543,12932,160639,4383,901048,26,0
75,1878148,51,737,506217,99635,110543,12932,160639,4383,901048,26,0
75,1878148,51,-83,506217,99635,110543,12932,160639,4383,901048,26,0
75,1878148,51,215,506217,99635,110543,12932,160639,4383,901048,26,0
75,1878148,51,-215,506217,99635,110543,12932,160639,4383,901048,26,0
37,278442,43,528,876963,21317,401326,14668,118619,2486,863606,0,0
37,278442,43,42,876963,21317,401326,14668,118619,2486,863606,0,0
37,278442,43,43,876963,21317,401326,14668,118619,2486,863606,0,0
37,278442,43,-312,876963,21317,401326,14668,118619,2486,863606,0,0
37,278442,43,-84,876963,21317,401326,14668,118619,2486,863606,0,0
37,278442,43,-331,876963,21317,401326,14668,118619,2486,863606,0,0
37,278442,43,134,876963,21317,401326,14668,118619,2486,863606,0,0
37,278442,43,724,876963,21317,401326,14668,118619,2486,863606,0,0
37,278442,43,216,876963,21317,401326,14668,118619,2486,863606,0,0
37,278442,43,-147,876963,21317,401326,14668,118619,2486,863606,0,0
16,1078780,40,-72,781773,29613,173712,6253,139183,2128,839337,0,0
16,1078780,40,455,781773,29613,173712,6253,139183,2128,839337,0,0
16,1078780,40,802,781773,29613,173712,6253,139183,2128,839337,0,0
16,1078780,40,28,781773,29613,173712,6253,139183,2128,839337,0,0
16,1078780,40,-339,781773,29613,173712,6253,139183,2128,839337,0,0
16,1078780,40,-251,781773,29613,173712,6253,139183,2128,839337,0,0
16,1078780,40,-140,781773,29613,173712,6253,139183,2128,839337,0,0
16,1078780,40,58,781773,29613,173712,6253,139183,2128,839337,0,0
16,1078780,40,296,781773,29613,173712,6253,139183,2128,839337,0,0
16,1078780,40,424,781773,29613,173712,6253,139183,2128,839337,0,0
1,742823,40,-232,997590,89173,328784,8965,111840,3688,876810,0,0
1,742823,40,789,997590,89173,328784,8965,111840,3688,876810,0,0
1,742823,40,476,997590,89173,328784,8965,111840,3688,876810,0,0
1,742823,40,68,997590,89173,328784,8965,111840,3688,876810,0,0
1,742823,40,-89,997590,89173,328784,8965,111840,3688,876810,0,0
1,742823,40,-3,997590,89173,328784,8965,111840,3688,876810,0,0
1,742823,40,249,997590,89173,328784,8965,111840,3688,876810,0,0
1,742823,40,316,997590,89173,328784,8965,111840,3688,876810,0,0
1,742823,40,88,997590,89173,328784,8965,111840,3688,876810,0,0
1,742823,40,857,997590,89173,328784,8965,111840,3688,876810,0,0
17,745772,44,-231,425343,93447,96625,5249,214018,2816,874854,0,0
17,745772,44,-258,425343,93447,96625,5249,214018,2816,874854,0,0
17,745772,44,51,425343,93447,96625,5249,214018,2816,874854,0,0
17,745772,44,400,425343,93447,96625,5249,214018,2816,874854,0,0
17,745772,44,487,425343,93447,96625,5249,214018,2816,874854,0,0
17,745772,44,9,425343,93447,96625,5249,214018,2816,874854,0,0
17,745772,44,-397,425343,93447,96625,5249,214018,2816,874854,0,0
17,745772,44,-532,425343,93447,96625,5249,214018,2816,874854,0,0
17,745772,44,-261,425343,93447,96625,5249,214018,2816,874854,0,0
17,745772,44,250,425343,93447,96625,5249,214018,2816,874854,0,0
37,722919,47,-291,411413,113514,126573,3791,128724,2013,850781,0,0
37,722919,47,124,411413,113514,126573,3791,128724,2013,850781,0,0
37,722919,47,53,411413,113514,126573,3791,128724,2013,850781,0,0
37,722919,47,-42,411413,113514,126573,3791,128724,2013,850781,0,0
37,722919,47,309,411413,113514,126573,3791,128724,2013,850781,0,0
37,722919,47,146,411413,113514,126573,3791,128724,2013,850781,0,0
37,722919,47,-83,411413,113514,126573,3791,128724,2013,850781,0,0
