attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
70,525527,61,80,225221,67757,55173,74491,63293,7874,62077,0,0,2
70,525527,61,43,225221,67757,55173,74491,63293,7874,62077,0,0,2
70,525527,61,-5,225221,67757,55173,74491,63293,7874,62077,0,0,2
70,525527,61,332,225221,67757,55173,74491,63293,7874,62077,0,0,2
70,525527,61,-1996,225221,67757,55173,74491,63293,7874,62077,0,0,2
70,525527,61,-469,225221,67757,55173,74491,63293,7874,62077,0,0,2
70,525527,61,2047,225221,67757,55173,74491,63293,7874,62077,0,0,2
70,525527,61,547,225221,67757,55173,74491,63293,7874,62077,0,0,2
70,525527,61,604,225221,67757,55173,74491,63293,7874,62077,0,0,2
70,718522,61,57,36206,25837,18696,21254,17664,2525,4451,51,0,2
70,718522,61,231,36206,25837,18696,21254,17664,2525,4451,51,0,2
70,718522,61,106,36206,25837,18696,21254,17664,2525,4451,51,0,2
70,718522,61,-961,36206,25837,18696,21254,17664,2525,4451,51,0,2
70,718522,61,868,36206,25837,18696,21254,17664,2525,4451,51,0,2
70,718522,61,469,36206,25837,18696,21254,17664,2525,4451,51,0,2
70,718522,61,33,36206,25837,18696,21254,17664,2525,4451,51,0,2
70,718522,61,10,36206,25837,18696,21254,17664,2525,4451,51,0,2
70,718522,61,-231,36206,25837,18696,21254,17664,2525,4451,51,0,2
70,718522,61,365,36206,25837,18696,21254,17664,2525,4451,51,0,2
69,602488,56,213,218669,9789,18988,16200,16594,1322,5930,0,0,2
69,602488,56,-55,218669,9789,18988,16200,16594,1322,5930,0,0,2
69,602488,56,-130,218669,9789,18988,16200,16594,1322,5930,0,0,2
69,602488,56,-242,218669,9789,18988,16200,16594,1322,5930,0,0,2
69,602488,56,138,218669,9789,18988,16200,16594,1322,5930,0,0,2
69,602488,56,27,218669,9789,18988,16200,16594,1322,5930,0,0,2
69,602488,56,201,218669,9789,18988,16200,16594,1322,5930,0,0,2
69,602488,56,151,218669,9789,18988,16200,16594,1322,5930,0,0,2
69,602488,56,100,218669,9789,18988,16200,16594,1322,5930,0,0,2
69,602488,56,26,218669,9789,18988,16200,16594,1322,5930,0,0,2
70,183642,44,-100,3264,1247,776,196,568,122,3850,0,0,2
70,183642,44,212,3264,1247,776,196,568,122,3850,0,0,2
70,183642,44,139,3264,1247,776,196,568,122,3850,0,0,2
70,183642,44,75,3264,1247,776,196,568,122,3850,0,0,2
70,183642,44,96,3264,1247,776,196,568,122,3850,0,0,2
70,183642,44,77,3264,1247,776,196,568,122,3850,0,0,2
70,183642,44,84,3264,1247,776,196,568,122,3850,0,0,2
70,183642,44,216,3264,1247,776,196,568,122,3850,0,0,2
70,183642,44,-217,3264,1247,776,196,568,122,3850,0,0,2
70,183642,44,-84,3264,1247,776,196,568,122,3850,0,0,2
70,2075235,48,123,214024,59410,56691,15748,70510,21776,298595,0,0,2
70,2075235,48,183,214024,59410,56691,15748,70510,21776,298595,0,0,2
70,2075235,48,71,214024,59410,56691,15748,70510,21776,298595,0,0,2
70,2075235,48,176,214024,59410,56691,15748,70510,21776,298595,0,0,2
70,2075235,48,36,214024,59410,56691,15748,70510,21776,298595,0,0,2
70,2075235,48,148,214024,59410,56691,15748,70510,21776,298595,0,0,2
70,2075235,48,153,214024,59410,56691,15748,70510,21776,298595,0,0,2
