attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
57,2652842,60,-281,190559,75175,58249,20927,26135,10099,4733,51,0,2
57,2652842,60,145,190559,75175,58249,20927,26135,10099,4733,51,0,2
57,2652842,60,-27,190559,75175,58249,20927,26135,10099,4733,51,0,2
57,918473,60,-1325,536967,40510,39419,26811,16480,4304,5852,51,0,2
57,918473,60,-98,536967,40510,39419,26811,16480,4304,5852,51,0,2
57,918473,60,22,536967,40510,39419,26811,16480,4304,5852,51,0,2
57,918473,60,50,536967,40510,39419,26811,16480,4304,5852,51,0,2
57,918473,60,2047,536967,40510,39419,26811,16480,4304,5852,51,0,2
57,918473,60,225,536967,40510,39419,26811,16480,4304,5852,51,0,2
57,918473,60,564,536967,40510,39419,26811,16480,4304,5852,51,0,2
57,918473,60,132,536967,40510,39419,26811,16480,4304,5852,51,0,2
57,918473,60,54,536967,40510,39419,26811,16480,4304,5852,51,0,2
57,918473,60,48,536967,40510,39419,26811,16480,4304,5852,51,0,2
57,1299140,60,44,13826,6942,7242,5662,3883,1528,518,51,0,2
57,1299140,60,48,13826,6942,7242,5662,3883,1528,518,51,0,2
57,1299140,60,-1476,13826,6942,7242,5662,3883,1528,518,51,0,2
57,1299140,60,-156,13826,6942,7242,5662,3883,1528,518,51,0,2
57,1299140,60,-1608,13826,6942,7242,5662,3883,1528,518,51,0,2
57,1299140,60,-259,13826,6942,7242,5662,3883,1528,518,51,0,2
57,1299140,60,12,13826,6942,7242,5662,3883,1528,518,51,0,2
57,1299140,60,40,13826,6942,7242,5662,3883,1528,518,51,0,2
57,1299140,60,80,13826,6942,7242,5662,3883,1528,518,51,0,2
57,850386,60,1035,40901,6277,3024,11103,10538,1496,1883,51,0,2
57,850386,60,-311,40901,6277,3024,11103,10538,1496,1883,51,0,2
57,850386,60,1127,40901,6277,3024,11103,10538,1496,1883,51,0,2
57,850386,60,213,40901,6277,3024,11103,10538,1496,1883,51,0,2
57,850386,60,70,40901,6277,3024,11103,10538,1496,1883,51,0,2
57,850386,60,49,40901,6277,3024,11103,10538,1496,1883,51,0,2
57,850386,60,44,40901,6277,3024,11103,10538,1496,1883,51,0,2
57,850386,60,45,40901,6277,3024,11103,10538,1496,1883,51,0,2
57,850386,60,48,40901,6277,3024,11103,10538,1496,1883,51,0,2
57,850386,60,44,40901,6277,3024,11103,10538,1496,1883,51,0,2
57,705215,60,-19,46449,9463,4926,954,937,1268,491,51,0,2
57,705215,60,-100,46449,9463,4926,954,937,1268,491,51,0,2
57,705215,60,-366,46449,9463,4926,954,937,1268,491,51,0,2
57,705215,60,-539,46449,9463,4926,954,937,1268,491,51,0,2
57,705215,60,-869,46449,9463,4926,954,937,1268,491,51,0,2
57,705215,60,-819,46449,9463,4926,954,937,1268,491,51,0,2
57,705215,60,-131,46449,9463,4926,954,937,1268,491,51,0,2
57,705215,60,-408,46449,9463,4926,954,937,1268,491,51,0,2
57,705215,60,-34,46449,9463,4926,954,937,1268,491,51,0,2
57,705215,60,34,46449,9463,4926,954,937,1268,491,51,0,2
64,480153,51,473,11740,6218,8309,11922,9281,1337,1159,0,0,2
64,480153,51,621,11740,6218,8309,11922,9281,1337,1159,0,0,2
64,480153,51,934,11740,6218,8309,11922,9281,1337,1159,0,0,2
64,480153,51,184,11740,6218,8309,11922,9281,1337,1159,0,0,2
64,480153,51,56,11740,6218,8309,11922,9281,1337,1159,0,0,2
64,480153,51,34,11740,6218,8309,11922,9281,1337,1159,0,0,2
64,480153,51,-1678,11740,6218,8309,11922,9281,1337,1159,0,0,2
64,480153,51,1169,11740,6218,8309,11922,9281,1337,1159,0,0,2
64,480153,51,1227,11740,6218,8309,11922,9281,1337,1159,0,0,2
64,480153,51,200,11740,6218,8309,11922,9281,1337,1159,0,0,2
64,1616712,51,-605,260759,77762,70167,23464,19814,17716,36940,51,0,2
64,1616712,51,208,260759,77762,70167,23464,19814,17716,36940,51,0,2
64,1616712,51,71,260759,77762,70167,23464,19814,17716,36940,51,0,2
64,1616712,51,51,260759,77762,70167,23464,19814,17716,36940,51,0,2
64,1616712,51,-2048,260759,77762,70167,23464,19814,17716,36940,51,0,2
64,1616712,51,2047,260759,77762,70167,23464,19814,17716,36940,51,0,2
64,1616712,51,582,260759,77762,70167,23464,19814,17716,36940,51,0,2
64,1616712,51,130,260759,77762,70167,23464,19814,17716,36940,51,0,2
64,1616712,51,59,260759,77762,70167,23464,19814,17716,36940,51,0,2
64,1616712,51,-54,260759,77762,70167,23464,19814,17716,36940,51,0,2
64,1871151,51,321,192487,56138,101934,123517,32329,3667,1564,51,0,2
64,1871151,51,116,192487,56138,101934,123517,32329,3667,1564,51,0,2
64,1871151,51,-601,192487,56138,101934,123517,32329,3667,1564,51,0,2
64,1871151,51,-115,192487,56138,101934,123517,32329,3667,1564,51,0,2
