attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,1119521,0,-2,581189,9824,78789,21557,78531,4579,367011,200,0,2
0,1119521,0,-428,581189,9824,78789,21557,78531,4579,367011,200,0,2
0,1119521,0,-366,581189,9824,78789,21557,78531,4579,367011,200,0,2
0,1119521,0,-165,581189,9824,78789,21557,78531,4579,367011,200,0,2
0,1119521,0,1,581189,9824,78789,21557,78531,4579,367011,200,0,2
0,332193,0,-536,74018,17680,19088,11847,23194,2276,339783,200,0,2
0,332193,0,-99,74018,17680,19088,11847,23194,2276,339783,200,0,2
0,332193,0,310,74018,17680,19088,11847,23194,2276,339783,200,0,2
0,332193,0,68,74018,17680,19088,11847,23194,2276,339783,200,0,2
0,332193,0,53,74018,17680,19088,11847,23194,2276,339783,200,0,2
0,332193,0,348,74018,17680,19088,11847,23194,2276,339783,200,0,2
0,332193,0,-155,74018,17680,19088,11847,23194,2276,339783,200,0,2
0,332193,0,-296,74018,17680,19088,11847,23194,2276,339783,200,0,2
0,332193,0,-658,74018,17680,19088,11847,23194,2276,339783,200,0,2
0,332193,0,-26,74018,17680,19088,11847,23194,2276,339783,200,0,2
0,1448674,0,-599,758123,361506,143376,42288,69475,5630,1247667,200,0,2
0,1448674,0,-375,758123,361506,143376,42288,69475,5630,1247667,200,0,2
0,1448674,0,617,758123,361506,143376,42288,69475,5630,1247667,200,0,2
0,1448674,0,-170,758123,361506,143376,42288,69475,5630,1247667,200,0,2
0,1448674,0,406,758123,361506,143376,42288,69475,5630,1247667,200,0,2
0,1448674,0,473,758123,361506,143376,42288,69475,5630,1247667,200,0,2
0,1448674,0,36,758123,361506,143376,42288,69475,5630,1247667,200,0,2
0,1448674,0,-334,758123,361506,143376,42288,69475,5630,1247667,200,0,2
0,1448674,0,-1015,758123,361506,143376,42288,69475,5630,1247667,200,0,2
0,1448674,0,370,758123,361506,143376,42288,69475,5630,1247667,200,0,2
0,813286,0,-252,462226,100338,53518,9277,185503,6531,755567,200,0,2
0,813286,0,-268,462226,100338,53518,9277,185503,6531,755567,200,0,2
0,813286,0,578,462226,100338,53518,9277,185503,6531,755567,200,0,2
0,813286,0,109,462226,100338,53518,9277,185503,6531,755567,200,0,2
0,813286,0,149,462226,100338,53518,9277,185503,6531,755567,200,0,2
0,813286,0,-403,462226,100338,53518,9277,185503,6531,755567,200,0,2
0,813286,0,912,462226,100338,53518,9277,185503,6531,755567,200,0,2
0,813286,0,-105,462226,100338,53518,9277,185503,6531,755567,200,0,2
0,813286,0,-462,462226,100338,53518,9277,185503,6531,755567,200,0,2
0,813286,0,295,462226,100338,53518,9277,185503,6531,755567,200,0,2
0,334165,0,344,67374,32513,18545,2634,30416,621,188031,200,0,2
0,334165,0,-85,67374,32513,18545,2634,30416,621,188031,200,0,2
0,334165,0,-549,67374,32513,18545,2634,30416,621,188031,200,0,2
0,334165,0,-238,67374,32513,18545,2634,30416,621,188031,200,0,2
0,334165,0,-7,67374,32513,18545,2634,30416,621,188031,200,0,2
0,334165,0,98,67374,32513,18545,2634,30416,621,188031,200,0,2
