attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
0,211376,0,628,182519,3619,96673,1498,92678,1061,442379,26,0
0,211376,0,864,182519,3619,96673,1498,92678,1061,442379,26,0
0,211376,0,80,182519,3619,96673,1498,92678,1061,442379,26,0
0,211376,0,-88,182519,3619,96673,1498,92678,1061,442379,26,0
0,211376,0,-661,182519,3619,96673,1498,92678,1061,442379,26,0
0,211376,0,-380,182519,3619,96673,1498,92678,1061,442379,26,0
0,211376,0,97,182519,3619,96673,1498,92678,1061,442379,26,0
0,211002,0,-300,393329,13020,103602,3334,85278,2847,446926,26,0
0,211002,0,-933,393329,13020,103602,3334,85278,2847,446926,26,0
0,211002,0,-679,393329,13020,103602,3334,85278,2847,446926,26,0
0,211002,0,690,393329,13020,103602,3334,85278,2847,446926,26,0
0,211002,0,580,393329,13020,103602,3334,85278,2847,446926,26,0
0,211002,0,536,393329,13020,103602,3334,85278,2847,446926,26,0
0,211002,0,378,393329,13020,103602,3334,85278,2847,446926,26,0
0,211002,0,360,393329,13020,103602,3334,85278,2847,446926,26,0
0,211002,0,-637,393329,13020,103602,3334,85278,2847,446926,26,0
0,211002,0,-1228,393329,13020,103602,3334,85278,2847,446926,26,0
0,1734062,0,520,1019021,19165,398703,4436,376418,4672,1698993,26,0
0,1734062,0,-267,1019021,19165,398703,4436,376418,4672,1698993,26,0
0,1734062,0,-759,1019021,19165,398703,4436,376418,4672,1698993,26,0
0,1734062,0,-158,1019021,19165,398703,4436,376418,4672,1698993,26,0
0,1734062,0,418,1019021,19165,398703,4436,376418,4672,1698993,26,0
0,1734062,0,-429,1019021,19165,398703,4436,376418,4672,1698993,26,0
0,1734062,0,506,1019021,19165,398703,4436,376418,4672,1698993,26,0
0,1734062,0,-588,1019021,19165,398703,4436,376418,4672,1698993,26,0
0,1734062,0,-331,1019021,19165,398703,4436,376418,4672,1698993,26,0
0,1734062,0,-389,1019021,19165,398703,4436,376418,4672,1698993,26,0
0,1175709,0,548,1376226,101195,346819,7880,343944,3803,1715360,26,0
0,1175709,0,82,1376226,101195,346819,7880,343944,3803,1715360,26,0
0,1175709,0,-61,1376226,101195,346819,7880,343944,3803,1715360,26,0
0,1175709,0,539,1376226,101195,346819,7880,343944,3803,1715360,26,0
0,1175709,0,-467,1376226,101195,346819,7880,343944,3803,1715360,26,0
0,1175709,0,-279,1376226,101195,346819,7880,343944,3803,1715360,26,0
0,1175709,0,609,1376226,101195,346819,7880,343944,3803,1715360,26,0
0,1175709,0,819,1376226,101195,346819,7880,343944,3803,1715360,26,0
0,1175709,0,107,1376226,101195,346819,7880,343944,3803,1715360,26,0
0,1175709,0,-278,1376226,101195,346819,7880,343944,3803,1715360,26,0
0,400348,0,361,1130635,12926,382466,11830,358411,14981,1644150,26,0
0,400348,0,260,1130635,12926,382466,11830,358411,14981,1644150,26,0
0,400348,0,309,1130635,12926,382466,11830,358411,14981,1644150,26,0
0,400348,0,-106,1130635,12926,382466,11830,358411,14981,1644150,26,0
0,400348,0,101,1130635,12926,382466,11830,358411,14981,1644150,26,0
0,400348,0,-88,1130635,12926,382466,11830,358411,14981,1644150,26,0
0,400348,0,601,1130635,12926,382466,11830,358411,14981,1644150,26,0
0,400348,0,349,1130635,12926,382466,11830,358411,14981,1644150,26,0
0,400348,0,489,1130635,12926,382466,11830,358411,14981,1644150,26,0
0,427962,0,38,1303116,65135,291605,12647,287124,7152,1523934,26,0
0,427962,0,-18,1303116,65135,291605,12647,287124,7152,1523934,26,0
0,427962,0,468,1303116,65135,291605,12647,287124,7152,1523934,26,0
0,427962,0,889,1303116,65135,291605,12647,287124,7152,1523934,26,0
0,427962,0,338,1303116,65135,291605,12647,287124,7152,1523934,26,0
0,427962,0,-375,1303116,65135,291605,12647,287124,7152,1523934,26,0
0,427962,0,-230,1303116,65135,291605,12647,287124,7152,1523934,26,0
0,427962,0,-604,1303116,65135,291605,12647,287124,7152,1523934,26,0
0,427962,0,116,1303116,65135,291605,12647,287124,7152,1523934,26,0
0,427962,0,913,1303116,65135,291605,12647,287124,7152,1523934,26,0
0,405811,0,-744,127557,100923,15044,17157,50237,7426,272650,26,0
0,405811,0,-710,127557,100923,15044,17157,50237,7426,272650,26,0
0,405811,0,592,127557,100923,15044,17157,50237,7426,272650,26,0
0,405811,0,989,127557,100923,15044,17157,50237,7426,272650,26,0
0,405811,0,-741,127557,100923,15044,17157,50237,7426,272650,26,0
0,405811,0,17,127557,100923,15044,17157,50237,7426,272650,26,0
0,405811,0,-9,127557,100923,15044,17157,50237,7426,272650,26,0
0,405811,0,-599,127557,100923,15044,17157,50237,7426,272650,26,0
0,405811,0,-49,127557,100923,15044,17157,50237,7426,272650,26,0
0,405811,0,-91,127557,100923,15044,17157,50237,7426,272650,26,0
0,524244,0,-663,755343,25558,412789,9736,288564,6099,1456457,26,0
0,524244,0,-301,755343,25558,412789,9736,288564,6099,1456457,26,0
0,524244,0,-315,755343,25558,412789,9736,288564,6099,1456457,26,0
0,524244,0,267,755343,25558,412789,9736,288564,6099,1456457,26,0
0,524244,0,185,755343,25558,412789,9736,288564,6099,1456457,26,0
0,524244,0,-866,755343,25558,412789,9736,288564,6099,1456457,26,0
0,524244,0,1244,755343,25558,412789,9736,288564,6099,1456457,26,0
0,524244,0,-161,755343,25558,412789,9736,288564,6099,1456457,26,0
0,524244,0,-115,755343,25558,412789,9736,288564,6099,1456457,26,0
0,524244,0,72,755343,25558,412789,9736,288564,6099,1456457,26,0
0,894181,0,-57,370167,3445,348488,22125,302403,11919,1241807,26,0
0,894181,0,-235,370167,3445,348488,22125,302403,11919,1241807,26,0
0,894181,0,-109,370167,3445,348488,22125,302403,11919,1241807,26,0
0,894181,0,-460,370167,3445,348488,22125,302403,11919,1241807,26,0
0,894181,0,485,370167,3445,348488,22125,302403,11919,1241807,26,0
0,894181,0,770,370167,3445,348488,22125,302403,11919,1241807,26,0
0,894181,0,427,370167,3445,348488,22125,302403,11919,1241807,26,0
0,894181,0,-549,370167,3445,348488,22125,302403,11919,1241807,26,0
0,894181,0,402,370167,3445,348488,22125,302403,11919,1241807,26,0
0,894181,0,-708,370167,3445,348488,22125,302403,11919,1241807,26,0
0,301709,0,267,825298,58152,520514,3632,263599,6761,1399509,26,0
0,301709,0,248,825298,58152,520514,3632,263599,6761,1399509,26,0
0,301709,0,-1002,825298,58152,520514,3632,263599,6761,1399509,26,0
0,301709,0,36,825298,58152,520514,3632,263599,6761,1399509,26,0
0,301709,0,492,825298,58152,520514,3632,263599,6761,1399509,26,0
0,301709,0,109,825298,58152,520514,3632,263599,6761,1399509,26,0
0,301709,0,853,825298,58152,520514,3632,263599,6761,1399509,26,0
0,301709,0,-836,825298,58152,520514,3632,263599,6761,1399509,26,0
0,301709,0,-642,825298,58152,520514,3632,263599,6761,1399509,26,0
0,301709,0,337,825298,58152,520514,3632,263599,6761,1399509,26,0
0,163111,0,226,116472,18518,59774,4623,70040,1042,317724,26,0
0,163111,0,451,116472,18518,59774,4623,70040,1042,317724,26,0
0,163111,0,-347,116472,18518,59774,4623,70040,1042,317724,26,0
0,163111,0,137,116472,18518,59774,4623,70040,1042,317724,26,0
0,163111,0,-29,116472,18518,59774,4623,70040,1042,317724,26,0
0,163111,0,-145,116472,18518,59774,4623,70040,1042,317724,26,0
0,163111,0,611,116472,18518,59774,4623,70040,1042,317724,26,0
0,163111,0,-333,116472,18518,59774,4623,70040,1042,317724,26,0
0,163111,0,-117,116472,18518,59774,4623,70040,1042,317724,26,0
0,163111,0,-161,116472,18518,59774,4623,70040,1042,317724,26,0
0,703565,0,157,1472036,14083,587838,13034,238868,5277,1331359,26,0
0,703565,0,-61,1472036,14083,587838,13034,238868,5277,1331359,26,0
0,703565,0,-616,1472036,14083,587838,13034,238868,5277,1331359,26,0
0,703565,0,884,1472036,14083,587838,13034,238868,5277,1331359,26,0
0,703565,0,-235,1472036,14083,587838,13034,238868,5277,1331359,26,0
0,703565,0,-564,1472036,14083,587838,13034,238868,5277,1331359,26,0
0,703565,0,-49,1472036,14083,587838,13034,238868,5277,1331359,26,0
0,703565,0,874,1472036,14083,587838,13034,238868,5277,1331359,26,0
0,703565,0,262,1472036,14083,587838,13034,238868,5277,1331359,26,0
0,703565,0,304,1472036,14083,587838,13034,238868,5277,1331359,26,0
0,743627,0,196,90593,14727,91735,3460,54663,1476,293248,26,0
0,743627,0,242,90593,14727,91735,3460,54663,1476,293248,26,0
0,743627,0,467,90593,14727,91735,3460,54663,1476,293248,26,0
0,743627,0,-157,90593,14727,91735,3460,54663,1476,293248,26,0
