Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
1,0,1142581,0,-169,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,92,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,257,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,128,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,199,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-6,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-147,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-36,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,86,175239,200818,61762,98922,92390,9674,1368909,0,0,0,696089,0,225,93060,19277,32497,22366,9842,2158,340500,0,0
1,0,1142581,0,92,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,257,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,128,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,199,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-6,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-147,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-36,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,86,175239,200818,61762,98922,92390,9674,1368909,0,0,0,696089,0,225,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,-247,93060,19277,32497,22366,9842,2158,340500,0,0
1,0,1142581,0,257,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,128,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,199,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-6,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-147,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-36,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,86,175239,200818,61762,98922,92390,9674,1368909,0,0,0,696089,0,225,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,-247,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,11,93060,19277,32497,22366,9842,2158,340500,0,0
1,0,1142581,0,128,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,199,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-6,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-147,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-36,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,86,175239,200818,61762,98922,92390,9674,1368909,0,0,0,696089,0,225,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,-247,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,11,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,114,93060,19277,32497,22366,9842,2158,340500,0,0
1,0,1142581,0,199,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-6,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-147,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-36,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,86,175239,200818,61762,98922,92390,9674,1368909,0,0,0,696089,0,225,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,-247,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,11,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,114,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,369,93060,19277,32497,22366,9842,2158,340500,0,0
1,0,1142581,0,-6,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-147,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-36,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,86,175239,200818,61762,98922,92390,9674,1368909,0,0,0,696089,0,225,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,-247,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,11,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,114,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,369,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,23,93060,19277,32497,22366,9842,2158,340500,0,0
1,0,1142581,0,-147,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,-36,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,86,175239,200818,61762,98922,92390,9674,1368909,0,0,0,696089,0,225,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,-247,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,11,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,114,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,369,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,23,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,74,93060,19277,32497,22366,9842,2158,340500,0,0
1,0,1142581,0,-36,175239,200818,61762,98922,92390,9674,1368909,0,0,0,1142581,0,86,175239,200818,61762,98922,92390,9674,1368909,0,0,0,696089,0,225,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,-247,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,11,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,114,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,369,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,23,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,74,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,262,93060,19277,32497,22366,9842,2158,340500,0,0
1,0,1142581,0,86,175239,200818,61762,98922,92390,9674,1368909,0,0,0,696089,0,225,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,-247,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,11,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,114,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,369,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,23,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,74,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,262,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,60,93060,19277,32497,22366,9842,2158,340500,0,0
1,0,696089,0,225,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,-247,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,11,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,114,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,369,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,23,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,74,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,262,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,60,93060,19277,32497,22366,9842,2158,340500,0,0,0,696089,0,49,93060,19277,32497,22366,9842,2158,340500,0,0
