Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
2,70,239381,29,-42,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,-142,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,288,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,161,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,25,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,233,31882,2357,5218,9259,3682,479,29236,0,0,61,884910,24,130,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,10,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,186,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,88,89619,19982,18677,28214,22761,3270,120660,0,0
2,70,239381,29,-142,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,288,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,161,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,25,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,233,31882,2357,5218,9259,3682,479,29236,0,0,61,884910,24,130,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,10,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,186,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,88,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,55,89619,19982,18677,28214,22761,3270,120660,0,0
2,70,239381,29,288,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,161,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,25,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,233,31882,2357,5218,9259,3682,479,29236,0,0,61,884910,24,130,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,10,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,186,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,88,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,55,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,161,89619,19982,18677,28214,22761,3270,120660,0,0
2,70,239381,29,161,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,25,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,233,31882,2357,5218,9259,3682,479,29236,0,0,61,884910,24,130,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,10,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,186,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,88,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,55,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,161,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-18,89619,19982,18677,28214,22761,3270,120660,0,0
2,70,239381,29,25,31882,2357,5218,9259,3682,479,29236,0,0,70,239381,29,233,31882,2357,5218,9259,3682,479,29236,0,0,61,884910,24,130,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,10,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,186,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,88,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,55,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,161,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-18,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,112,89619,19982,18677,28214,22761,3270,120660,0,0
2,70,239381,29,233,31882,2357,5218,9259,3682,479,29236,0,0,61,884910,24,130,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,10,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,186,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,88,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,55,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,161,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-18,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,112,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-20,89619,19982,18677,28214,22761,3270,120660,0,0
2,61,884910,24,130,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,10,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,186,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,88,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,55,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,161,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-18,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,112,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-20,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,18,89619,19982,18677,28214,22761,3270,120660,0,0
2,61,884910,24,10,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,186,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,88,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,55,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,161,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-18,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,112,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-20,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,18,89619,19982,18677,28214,22761,3270,120660,0,0,69,1123164,35,140,185097,45248,48863,32068,26011,8031,130455,0,0
2,61,884910,24,186,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,88,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,55,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,161,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-18,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,112,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-20,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,18,89619,19982,18677,28214,22761,3270,120660,0,0,69,1123164,35,140,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,117,185097,45248,48863,32068,26011,8031,130455,0,0
2,61,884910,24,88,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,55,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,161,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-18,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,112,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-20,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,18,89619,19982,18677,28214,22761,3270,120660,0,0,69,1123164,35,140,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,117,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,-1,185097,45248,48863,32068,26011,8031,130455,0,0
2,61,884910,24,55,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,161,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-18,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,112,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-20,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,18,89619,19982,18677,28214,22761,3270,120660,0,0,69,1123164,35,140,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,117,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,-1,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,173,185097,45248,48863,32068,26011,8031,130455,0,0
2,61,884910,24,161,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-18,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,112,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-20,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,18,89619,19982,18677,28214,22761,3270,120660,0,0,69,1123164,35,140,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,117,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,-1,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,173,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,-60,185097,45248,48863,32068,26011,8031,130455,0,0
2,61,884910,24,-18,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,112,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,-20,89619,19982,18677,28214,22761,3270,120660,0,0,61,884910,24,18,89619,19982,18677,28214,22761,3270,120660,0,0,69,1123164,35,140,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,117,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,-1,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,173,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,-60,185097,45248,48863,32068,26011,8031,130455,0,0,69,1123164,35,-3,185097,45248,48863,32068,26011,8031,130455,0,0
